Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 12 	 5							0.000000	6.898617																						-0.000001									-8.565675			-0.000141							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.061022					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000003	0.927221															0.000000	
 12 	 6							0.000000	6.898617																						-0.000001									-8.565675			-0.346379							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.152555					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000003	1.364994															0.000000	
 12 	 7							0.000000	6.898617																						-0.000001									-8.565675			-1.479879							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.295535					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000003	2.641473															0.000000	
 12 	 8							0.000000	6.898617																						-0.000001									-8.565675			-1.479955							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.257401					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000003	2.603416															0.000000	
 12 	 9							0.000000	6.898617																						-0.000001									-8.565675			-1.480008							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.238335					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000003	2.584402															0.000000	
 12 	 10							0.000000	6.898617																						-0.000001									-8.565675			-1.480035							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.266936					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.613030															0.000000	
 12 	 11							0.000000	6.898617																						-0.000001									-8.565675			-1.480053							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.305068					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.651181															0.000000	
 12 	 12							0.000000	6.898617																						-0.000000									-8.565674			-1.480062							-0.000000					-0.000000						-0.000001	-0.000000		-0.000000		-0.000000								-0.335576					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801004																																								-0.000004	2.681697															0.000000	
 12 	 13							0.000000	6.898617																						-0.000000									-5.970000			-1.480021							-0.000000					-0.000000						-0.000000	-0.000000		-0.000000		-0.000000								-0.305068					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801003																																								-0.000072	0.055543															0.000000	
 12 	 14							0.000000	6.898617																						-0.000001									-8.565675			-1.480073							-0.000000					-0.000000						-0.000001	-0.000000		-0.000000		-0.000000								-0.308882					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801004																																								-0.000004	2.655014															0.000000	
 12 	 15							0.000000	6.898617																						-0.000001									-8.565675			-1.480081							-0.000000					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.347016					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.693157															0.000000	
 12 	 16							0.000000	6.898617																						-0.000001									-8.565675			-1.480087							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.362270					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.708417															0.000000	
 12 	 17							0.000000	6.898617																						-0.000001									-8.565675			-1.480088							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.362270					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.708418															0.000000	
 12 	 18							0.000000	6.898617																						-0.000001									-8.565675			-1.480089							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.266936					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.613084															0.000000	
 12 	 19							0.000000	6.898617																						-0.000001									-8.565675			-1.480092							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.190668					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.536820															0.000000	
 12 	 20							0.000000	6.898617																						-0.000001									-8.565675			-1.480095							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.142980					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.489134															0.000000	
 12 	 21							0.000000	6.898617																						-0.000001									-8.565675			-1.480097							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.095266					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.441422															0.000000	
 12 	 22							0.000000	6.898617																						-0.000001									-8.565675			-1.480098							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.061022					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.407180															0.000000	
 12 	 23							0.000000	6.898617																						-0.000001									-8.565675			-1.480099							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.038139					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.384298															0.000000	
 12 	 24							0.000000	6.898617																						-0.000001									-8.565675			-1.480100							-0.000000					-0.000000						-0.000001	-0.000000		-0.000001		-0.000000								-0.015256					-0.000000								-0.000000						-0.000000			-0.000000			-0.000000							-0.000000		0.000000	0.000001	0.000000	0.801005																																								-0.000004	2.361415															0.000000	
